MangaName,MangaLink
revenge-iron-blooded-sword-hound,https://www.mangasaki.org/manga/revenge-iron-blooded-sword-hound
danzai-no-majutsugari,https://www.mangasaki.org/manga/danzai-no-majutsugari
return-disaster-class-hero,https://www.mangasaki.org/manga/return-disaster-class-hero
beat-motion,https://www.mangasaki.org/manga/beat-motion
infinite-mage,https://www.mangasaki.org/manga/infinite-mage
tensei-ouji-wa-renkinjutsushi-nari-koukoku-suru,https://www.mangasaki.org/manga/tensei-ouji-wa-renkinjutsushi-nari-koukoku-suru
seoul-station-necromancer,https://www.mangasaki.org/manga/seoul-station-necromancer
pick-me-infinite-gacha,https://www.mangasaki.org/manga/pick-me-infinite-gacha
jojo-no-kimyou-na-bouken-part-9-jojolands,https://www.mangasaki.org/manga/jojo-no-kimyou-na-bouken-part-9-jojolands
standard-reincarnation,https://www.mangasaki.org/manga/standard-reincarnation
transcension-academy,https://www.mangasaki.org/manga/transcension-academy
s-rank-party-wo-munou-da-tsuihousareta-kedo-kantei-chiyu-mahou-de-nariagari-musou,https://www.mangasaki.org/manga/s-rank-party-wo-munou-da-tsuihousareta-kedo-kantei-chiyu-mahou-de-nariagari-musou
i-became-s-rank-hunter-demon-lord-app,https://www.mangasaki.org/manga/i-became-s-rank-hunter-demon-lord-app
nine-peaks,https://www.mangasaki.org/manga/nine-peaks
wild-west-murim,https://www.mangasaki.org/manga/wild-west-murim
everyone-else-returnee,https://www.mangasaki.org/manga/everyone-else-returnee
world-after-fall,https://www.mangasaki.org/manga/world-after-fall
life-magic-academy-mage,https://www.mangasaki.org/manga/life-magic-academy-mage
doctor-player,https://www.mangasaki.org/manga/doctor-player
relife-player,https://www.mangasaki.org/manga/relife-player
swordmaster%E2%80%99s-youngest-son,https://www.mangasaki.org/manga/swordmaster%E2%80%99s-youngest-son
lone-necromancer,https://www.mangasaki.org/manga/lone-necromancer
versus,https://www.mangasaki.org/manga/versus
jinzou-ningen-100,https://www.mangasaki.org/manga/jinzou-ningen-100
i-used-be-boss,https://www.mangasaki.org/manga/i-used-be-boss
elden-ring-ougonju-e-no-michi,https://www.mangasaki.org/manga/elden-ring-ougonju-e-no-michi
akane-banashi,https://www.mangasaki.org/manga/akane-banashi
mage-again,https://www.mangasaki.org/manga/mage-again
ex-and-ash,https://www.mangasaki.org/manga/ex-and-ash
breaker-3-eternal-force,https://www.mangasaki.org/manga/breaker-3-eternal-force
ayashimon,https://www.mangasaki.org/manga/ayashimon
dandadan,https://www.mangasaki.org/manga/dandadan
all-hail-sect-leader,https://www.mangasaki.org/manga/all-hail-sect-leader
storm-inn,https://www.mangasaki.org/manga/storm-inn
shikkoku-tsukai-no-saikyou-yuusha,https://www.mangasaki.org/manga/shikkoku-tsukai-no-saikyou-yuusha
red-hood,https://www.mangasaki.org/manga/red-hood
sakamoto-days,https://www.mangasaki.org/manga/sakamoto-days
zensei-wa-ken-mikado-konjou-kuzu-ouji,https://www.mangasaki.org/manga/zensei-wa-ken-mikado-konjou-kuzu-ouji
ao-no-hako,https://www.mangasaki.org/manga/ao-no-hako
return-8th-class-magician,https://www.mangasaki.org/manga/return-8th-class-magician
solo-max-level-newbie,https://www.mangasaki.org/manga/solo-max-level-newbie
return-mount-hua-sect,https://www.mangasaki.org/manga/return-mount-hua-sect
reincarnation-suicidal-battle-god,https://www.mangasaki.org/manga/reincarnation-suicidal-battle-god
capitalist-monster-hunter,https://www.mangasaki.org/manga/capitalist-monster-hunter
granblue-fantasy,https://www.mangasaki.org/manga/granblue-fantasy
player-cant-level-manhwa,https://www.mangasaki.org/manga/player-cant-level-manhwa
sss-class-suicide-hunter,https://www.mangasaki.org/manga/sss-class-suicide-hunter
red-ranger-becomes-adventurer-another-world,https://www.mangasaki.org/manga/red-ranger-becomes-adventurer-another-world
struggle-being-reincarnated-marquesss-daughter-ill-deal-what%E2%80%99s-coming-me,https://www.mangasaki.org/manga/struggle-being-reincarnated-marquesss-daughter-ill-deal-what%E2%80%99s-coming-me
irregular-royal-academy-magic-strongest-sorcerer-slums-unrivaled-school-royals,https://www.mangasaki.org/manga/irregular-royal-academy-magic-strongest-sorcerer-slums-unrivaled-school-royals
mookhyang-origin,https://www.mangasaki.org/manga/mookhyang-origin
mokushiroku-no-yonkishi-manga,https://www.mangasaki.org/manga/mokushiroku-no-yonkishi-manga
kimetsu-no-yaiba-shiawase-no-hana,https://www.mangasaki.org/manga/kimetsu-no-yaiba-shiawase-no-hana
lonely-attack-different-world-0,https://www.mangasaki.org/manga/lonely-attack-different-world-0
hero-proposed-me,https://www.mangasaki.org/manga/hero-proposed-me
harem-show-livec,https://www.mangasaki.org/manga/harem-show-livec
happy-ending-time-limited-villainess,https://www.mangasaki.org/manga/happy-ending-time-limited-villainess
hyouka,https://www.mangasaki.org/manga/hyouka
kekkon-made-ecchi-wa-kinshi,https://www.mangasaki.org/manga/kekkon-made-ecchi-wa-kinshi
secret-gyaru-x-shota-couple,https://www.mangasaki.org/manga/secret-gyaru-x-shota-couple
gokudou-omega,https://www.mangasaki.org/manga/gokudou-omega
gajuu-beast,https://www.mangasaki.org/manga/gajuu-beast
kininaru-danshi-ni-%E2%97%8B%E2%97%8B-suru-onnanoko,https://www.mangasaki.org/manga/kininaru-danshi-ni-%E2%97%8B%E2%97%8B-suru-onnanoko
my-noble-family-headed-ruin-so-i-may-well-study-magic-my-free-time,https://www.mangasaki.org/manga/my-noble-family-headed-ruin-so-i-may-well-study-magic-my-free-time
useless-tamer-will-turn-top-unconsciously-my-previous-life-knowledge,https://www.mangasaki.org/manga/useless-tamer-will-turn-top-unconsciously-my-previous-life-knowledge
marvelous-hero-sword,https://www.mangasaki.org/manga/marvelous-hero-sword
level-alone,https://www.mangasaki.org/manga/level-alone
hunter%E2%80%99s-courtship-method,https://www.mangasaki.org/manga/hunter%E2%80%99s-courtship-method
welcome-impregnable-demon-king-castle-black-mage-who-got-kicked-out-hero-party-due-his,https://www.mangasaki.org/manga/welcome-impregnable-demon-king-castle-black-mage-who-got-kicked-out-hero-party-due-his
isekai-yurutto-survival-seikatsu-gakkou-no-minna-isekai-no-mujintou-ni-tenishitakedo-ore-dake,https://www.mangasaki.org/manga/isekai-yurutto-survival-seikatsu-gakkou-no-minna-isekai-no-mujintou-ni-tenishitakedo-ore-dake
im-best-strategy-strongest-bastards,https://www.mangasaki.org/manga/im-best-strategy-strongest-bastards
ijimekaeshi-fukushuu-no-31,https://www.mangasaki.org/manga/ijimekaeshi-fukushuu-no-31
just-meowment,https://www.mangasaki.org/manga/just-meowment
real-man,https://www.mangasaki.org/manga/real-man
solo-spell-caster,https://www.mangasaki.org/manga/solo-spell-caster
limit-breaker,https://www.mangasaki.org/manga/limit-breaker
i-was-reincarnated-poor-farmer-different-world-so-i-decided-make-bricks-build-castle,https://www.mangasaki.org/manga/i-was-reincarnated-poor-farmer-different-world-so-i-decided-make-bricks-build-castle
did-you-think-you-could-run-after-reincarnating-nii-san,https://www.mangasaki.org/manga/did-you-think-you-could-run-after-reincarnating-nii-san
yuki-no-niiduma-wa-boku-tokeaitai,https://www.mangasaki.org/manga/yuki-no-niiduma-wa-boku-tokeaitai
teihen-ryoushu-no-kanchigai-eiyuutan,https://www.mangasaki.org/manga/teihen-ryoushu-no-kanchigai-eiyuutan
everything-was-mistake,https://www.mangasaki.org/manga/everything-was-mistake
virtual-reality-action-rpg,https://www.mangasaki.org/manga/virtual-reality-action-rpg
angelic-lady,https://www.mangasaki.org/manga/angelic-lady
it%E2%80%99s-not-i-want-wear-women%E2%80%99s-clothing,https://www.mangasaki.org/manga/it%E2%80%99s-not-i-want-wear-women%E2%80%99s-clothing
strongest-ever,https://www.mangasaki.org/manga/strongest-ever
i-am-humanoid-cultivation-pill,https://www.mangasaki.org/manga/i-am-humanoid-cultivation-pill
it-starts-kingpin-account,https://www.mangasaki.org/manga/it-starts-kingpin-account
it-fortune-or-it-woe,https://www.mangasaki.org/manga/it-fortune-or-it-woe
totem-realm,https://www.mangasaki.org/manga/totem-realm
rare-marriage-how-grill-our-love,https://www.mangasaki.org/manga/rare-marriage-how-grill-our-love
i-kissed-succubus,https://www.mangasaki.org/manga/i-kissed-succubus
tsunderu-moto-akuyaku-reijo-wa-do-s-ouji-sama-kara-nigedashitai,https://www.mangasaki.org/manga/tsunderu-moto-akuyaku-reijo-wa-do-s-ouji-sama-kara-nigedashitai
sheep-princess-wolfs-clothing,https://www.mangasaki.org/manga/sheep-princess-wolfs-clothing
deathco,https://www.mangasaki.org/manga/deathco
